Year,Value_Forecast,CI_Lower_95,CI_Upper_95,YoY_Growth_%
2021,13.733193506493507,13.002000008754447,14.464387004232567,-4.1
2022,13.814705590062118,13.075265288334188,14.554145891790048,0.5935406322649572
2023,13.89621767363073,13.147945893085673,14.644489454175787,0.5900385139387186
2024,13.977729757199313,13.220062267889116,14.73539724650951,0.586577480887187
2025,14.059241840767925,13.291635131435514,14.826848550100335,0.5831568143362361
