Model,MAE (mean±std),RMSE (mean±std),MAPE% (mean±std),R² (mean±std)
ElasticNet,244.83±163.04,643.29±674.11,426.5±273.3,-0.433±0.958
GradientBoosting,14.40±11.11,45.77±35.21,3.6±2.3,0.988±0.016
RandomForest,51.11±47.56,189.18±168.84,11.3±1.7,0.871±0.120
Ridge,253.15±185.87,659.87±701.48,431.6±317.1,-0.452±0.989
