Year,Quantity_Forecast,CI_Lower_95,CI_Upper_95,YoY_Growth_%
2021,3753.347012987011,3506.092220032891,4000.6018059411313,-4.1
2022,3599.9811801242176,3349.937711095835,3850.0246491526004,-4.086108540780538
2023,3446.615347261424,3193.585492996904,3699.6452015259442,-4.260184295116275
2024,3293.2495143986307,3037.042479220214,3549.4565495770476,-4.449751927921208
2025,3139.8836815358372,2880.315675839607,3399.4516872320673,-4.656975798288369
