model,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,r2_mean,r2_std
ElasticNet,244.827,163.036,643.292,674.113,426.498,273.348,-0.433,0.958
GradientBoosting,14.398,11.105,45.766,35.214,3.595,2.286,0.988,0.016
RandomForest,51.111,47.556,189.18,168.844,11.293,1.668,0.871,0.12
Ridge,253.152,185.868,659.865,701.48,431.621,317.071,-0.452,0.989
