model,target,fold,mae,rmse,mape,r2,train_samples,test_samples
Ridge,Value,Fold 1,0.6960411414166457,1.9630562321744935,205.08563747554192,0.32154172659733693,135,86
ElasticNet,Value,Fold 1,0.6223799723213218,1.6575503665300768,168.49010798361525,0.5162832459217388,135,86
RandomForest,Value,Fold 1,0.19877786932155908,0.642435938083017,7.9217297424781785,0.9273363319181154,135,86
GradientBoosting,Value,Fold 1,0.058915632750006774,0.15952964158930022,3.0429627098456806,0.9955193559799966,135,86
Ridge,Value,Fold 2,0.3007169484665563,0.4861386341760103,80.84646408494903,0.8523541739816718,186,66
ElasticNet,Value,Fold 2,0.24105337657551246,0.4578985415010434,46.7773915744727,0.8690096141782953,186,66
RandomForest,Value,Fold 2,0.09258547642006582,0.3223206246475762,6.283720917779554,0.935095158610481,186,66
GradientBoosting,Value,Fold 2,0.02439506550529986,0.07637564445811697,2.368864746363915,0.9963557289033979,186,66
Ridge,Value,Fold 3,0.2742794178108498,0.33879942229112864,233.42777203923401,0.612125438735119,221,60
ElasticNet,Value,Fold 3,0.18741699069992374,0.24247625633858766,111.27188444449234,0.8013244556806743,221,60
RandomForest,Value,Fold 3,0.02390374011136598,0.04896693958259227,8.824187887381735,0.9918976332333255,221,60
GradientBoosting,Value,Fold 3,0.007647302279889091,0.017611093861312776,1.75538240852555,0.998951958117406,221,60
